kick, snar, hcls, hopn, ltom, mtom, htom, cras, ride, bpm, tsig, pos_in_bar, tau_d, tau_g
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
1.451146,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.573449,-0.902478,-1.323654,0.010000,0.010000
0.010000,0.010000,111.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.010000,0.010000,0.010000
0.010000,0.010000,79.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.135000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.260000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.385000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.510000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.635000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.760000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.885000,0.010000,0.010000
0.010000,0.010000,111.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.010000,0.010000,0.010000
0.010000,0.010000,79.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.135000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.260000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.385000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.510000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.635000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.760000,0.010000,0.010000
0.010000,0.010000,95.010002,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.885000,0.010000,0.010000
0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,120.010002,1.010000,0.010000,0.010000,0.010000
