# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -0.000155434, -0.00094692
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0954006, 0.0004, 0.00026907, -0.000276667
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0777711, 0.0004, 0.000152662, -0.000460464
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0484131, 0.0004, -0.00022655, -0.00105921
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.367366, 0.0004, -0.00143895, -0.00150748
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 1, -0.0215075, 0.000282992, -0.000943331
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0815653, 0.0106909, -0.00034777, -0.00127117
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0576111, 0.000707335, 0.000318401, -0.000616556
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0431565, 0.00664319, 0.000505092, -0.0011035
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0376295, 0.0183248, 0.000182981, -0.000391244
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.167925, 8.09707e-05, 0.00026366, -0.000697781
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0303572, 0.00656539, 0.000842317, -0.000593455
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0346634, 0.0186597, 0.000309759, -0.000719463
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.169544, 0.00797709, 0.000555042, -0.000707506
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.034033, 0.0135858, 0.000663696, -0.000787809
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0613961, 0.0173495, 0.000280511, -0.000668567
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.103688, 0.00652643, 0.00041719, -0.000630599
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0293737, 0.00918395, 0.000722967, -0.000778846
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0527479, 0.0186141, 0.0002748, -0.00106202
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0856229, 0.0122713, 0.000497864, -0.000313405
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0354792, 0.00634739, 0.000558604, -0.00106016
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.099249, 0.0189398, 0.000122622, -0.000579523
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0900672, 0.00147041, 7.93215e-05, -0.000632318
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0360977, 0.00123769, 0.000305992, -0.00058703
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.0612383, 0.00590917, 0.00018892, -0.000555841
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.197033, 0.0026808, 6.34788e-05, -0.000659433
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0456589, 0.00126908, 7.88839e-05, -0.0010267
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.0534704, 0.0071209, -7.83047e-05, -0.000762946
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.600417, -0.00052941, -0.000266783, -0.000739656
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0.0540403, -0.00532455, 8.10039e-06, -0.000586421
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0.0649439, -0.00112864, -2.3152e-05, -0.000581907
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.510762, -0.00193349, 0.00030416, -0.000478377
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0231809, 0.00424226, 0.00119334, -0.00012083
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.0744822, 0.0198792, -0.000100298, -0.00119898
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.0564007, 0.00546768, -0.000115184, -0.00163915
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.0345925, 0.0116942, 0.000505844, -0.000720102
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.0218221, 0.0126132, 0.000433087, -0.000618554
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.100809, 0.00937903, 0.000860308, -0.000554857
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0705017, 0.0185074, 0.00039082, -0.00128115
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.035571, 0.0182834, -2.88417e-05, -0.00179013
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0.0934742, 0.0159876, 0.000321657, -0.00127144
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0.0330814, 0.0165063, 0.000286162, -0.00132396
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0.107464, 0.0164538, -0.00016367, -0.000949447
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.104466, 0.000243438, 0.000132737, -0.000854119
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.120565, 0.00581255, -0.0011653, -0.00277505
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.0426172, 0.00389161, 0.000841656, 0.00015135
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.0303188, 0.00751391, -0.00102764, -0.00131693
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.061873, -0.0146503, 8.89663e-05, -0.00120419
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.0339906, 0.0100112, -0.000274928, -0.00145741
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.0678032, 0.00520925, -0.00155589, -0.00335309
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.0437614, 0.00331358, 0.000865973, -0.000187153
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0349219, 0.0131462, -0.00144185, -0.00192991
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.908337, -0.0152632, -0.00114923, -0.00149687
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0.0288271, -0.0148302, -0.000328293, -0.00153639
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.0389613, 0.00513028, -0.00137172, -0.00308054
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.0436456, 0.00358613, 0.000930889, -5.4613e-05
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.0289551, 0.0126972, -0.00114054, -0.00148401
