# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -6.32016e-05, 0.000360928
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0250604, 0.0004, 0.000307775, 0.000963968
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0274248, 0.0004, 0.000430266, 0.00116308
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.127383, 0.0004, -0.000137465, 0.00024021
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.279361, 0.0004, -0.00126808, -7.31781e-05
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 1, -0.0165878, 0.000486867, 0.000143867
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0254342, 0.0127827, 9.7242e-05, 0.000223527
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.10061, 0.00483738, 0.000546706, 0.000409815
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0328184, 0.0109031, 0.000642919, 0.000221501
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0391996, 0.0147444, -0.000517797, 0.000755045
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.108587, -0.0122263, 0.00039629, 0.000374322
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0213928, 0.00857399, 0.000944261, 0.000677073
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0252593, 0.0151263, 0.000876167, 0.000667391
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0477146, 0.0140007, 0.000892396, 0.000521783
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.024391, 0.0159173, 0.00106994, 0.000568199
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0261227, 0.018616, 0.000596451, 0.000543074
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0554143, 0.0103192, 0.000623227, 0.000423973
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0300144, 0.0121315, 0.00110626, 0.00046162
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.045706, 0.0204616, 0.000115484, 0.000284466
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0467008, 0.00448876, 0.000912498, 0.000624066
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0249961, 0.0151416, 0.000971735, 0.00026095
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0274027, 0.020261, 0.000817137, 0.000579338
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0404865, 0.0139127, 0.000606312, 0.000494067
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0310843, 0.011044, 0.000866195, 0.000751875
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.034983, 0.0128787, 0.000572812, 0.00062021
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.0482398, 0.0090315, 0.00033138, 0.000496038
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0319504, 0.00604189, 0.000576851, 0.000220906
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.0303098, 0.0135542, 0.000540325, 0.00053242
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.0669616, 0.00942131, 0.00030364, 0.000351178
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0.0313019, 0.00715363, 0.000737866, 0.000493119
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0.0308901, 0.0134375, 0.000249506, 0.000392491
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.0816728, 0.00571268, 0.0007376, 0.000358192
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0319416, 0.0149362, 0.00171924, 0.00137599
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.100275, 0.021376, 0.000216138, 0.00052162
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.0220977, 0.00366931, -0.000468352, -0.000591052
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.033065, 0.00366931, -0.00029838, 0.000711145
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.0400123, -0.0077626, -0.000387335, 0.00026576
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.398452, -0.00441087, 0.000486167, 0.000429505
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0691616, 0.00958711, 0.00123222, 0.000410537
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0613856, 0.0233124, 0.000689471, 0.000100673
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0.0188344, 0.016934, 0.000803794, 0.000193435
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0.0319786, 0.0179712, 0.000836495, 0.000242214
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0.169227, 0.01802, 0.000537417, 0.000162083
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.12316, 0.0134954, 0.000244949, 0.00027481
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.104064, 0.00694148, -0.0013264, -0.00206915
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.0605131, 0.00459751, 0.00155598, 0.00168146
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.0744053, 0.0150148, -0.00165587, -0.000913615
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.12601, -0.0142469, 3.2937e-05, -0.000590443
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.021159, 0.0127429, -0.000541059, -0.000635755
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.0373135, 0.00285044, -0.00167616, -0.00248091
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.0480954, 0.00285044, 0.00104537, 0.00194307
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0229793, 0.00285044, -0.00211463, -0.00184744
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.23291, -0.0121511, -8.61916e-05, -0.000768146
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0.0240969, 0.0125652, -0.000351211, -0.000614473
