# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, 0.000325161, 0.000914581
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0222745, 0.0004, 0.000418417, 0.00107473
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0392872, 0.0004, 0.000393118, 0.00103128
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0314266, 0.0004, -0.000205199, 3.79542e-06
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.178973, 0.0004, -0.00101712, -0.000171363
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.952182, -0.0154536, 0.000449668, 0.000213976
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0227394, 0.012291, 0.0002572, 0.000240464
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0690042, 0.00764846, 0.000402473, 0.000253158
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0187227, 0.0107275, 0.000764353, 0.000150024
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0280418, 0.02015, 0.000225036, 0.000543501
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0604465, 0.00298953, 0.00030516, 0.000381266
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0223226, 0.00688849, 0.000753904, 0.000495829
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0299441, 0.0154199, 4.11099e-05, 0.000433164
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0726205, 0.000316993, 0.000717767, 0.000228357
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0257339, 0.018091, 0.000864952, 0.000315496
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.025256, 0.0202448, 0.000620008, 0.000493891
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0955317, 0.012455, 0.000428354, 0.000251645
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0289245, 0.0113252, 0.00047957, 0.000411569
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0269267, 0.0103893, 0.000292465, 0.000309209
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0636505, 0.00754202, 0.000775271, 0.000331257
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0229999, 0.0180371, 0.000763818, 0.000149171
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0265006, 0.0201492, -0.00027201, 0.000422738
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0343127, -0.00653989, 0.000505842, 0.000431391
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0242941, 0.0107182, 0.000674931, 0.000505255
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.0282282, 0.0135337, 0.000505672, 0.000530945
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.0286802, 0.00941983, 0.000546498, 0.000278677
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0215758, 0.013612, 0.000574484, 0.000323305
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.0382378, 0.0136566, 0.000440799, 0.000427494
