# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, 6.93e-05, -0.00107888
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0302354, 0.0004, 0.000339185, -0.00064553
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0373355, 0.0004, 0.000171695, -0.000914464
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.199253, 0.0004, -0.000361153, -0.00177004
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.368164, 0.0004, -0.00102383, -0.00210416
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 1, -0.00941239, 0.000728492, -0.00137606
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.101003, 0.0186239, 0.000222795, -0.00167024
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0810032, 0.0116631, 0.00057501, -0.00135464
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0408436, 0.0150231, 0.00042738, -0.00170063
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0690423, 0.0164877, 0.000622918, -0.000908108
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.106728, 0.0100544, 0.000152825, -0.00122767
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0280851, 0.00420313, 0.000371807, -0.00108462
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0192637, 0.00700693, -5.12553e-06, -0.00126905
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.212151, 0.00135009, -3.1026e-05, -0.00142741
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.021132, 0.00291983, 0.000102253, -0.00128538
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0242472, 0.0038874, 6.15521e-05, -0.00113569
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.237013, 0.000996513, 0.000245849, -0.00129889
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0392372, 0.00716859, 0.000596644, -0.00132888
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0901097, 0.0151438, -0.000111618, -0.00164647
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.158105, 0.00412508, 0.000574468, -0.00106562
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0366851, 0.011126, 0.000478521, -0.00160984
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0336845, 0.016371, 0.00056352, -0.00116103
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.121532, 0.0121723, 0.000309817, -0.0010536
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0299493, 0.00525187, 0.00040353, -0.00101114
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.032535, 0.00670391, 0.000177134, -0.000976888
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.876304, 0.00135658, 6.0568e-05, -0.00134692
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0356376, 0.00381484, 0.000169358, -0.00144692
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.0288111, 0.00750753, 0.000423312, -0.00106285
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.329108, 0.00782604, 0.000272896, -0.00118168
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0.0247433, 0.00617671, 0.000603183, -0.000999847
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0.0380261, 0.0108616, 0.000276511, -0.000987718
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.192034, 0.00364726, 0.000617285, -0.00105846
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0330958, 0.0119539, 0.00131024, -0.000506646
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.120042, 0.0194934, -7.92426e-05, -0.00166006
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.0309794, 0.00500661, -0.000612023, -0.0020391
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.0262191, -0.00139812, 6.5517e-05, -0.0014768
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.0310693, 0.00566766, 0.000567925, -0.0012286
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.160209, 0.0131758, 0.000850276, -0.000772193
