# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -0.0027903, -0.00552848
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0, 0.0004, 0.000470627, -0.00104744
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0, 0.0004, -0.000729879, -0.00269713
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0004, -0.00122729, -0.00338065
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0004, -0.00501263, -0.00454229
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, -0.0128074, -0.001534, -0.00750261
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.0124974, -0.000973973, -0.00535171
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.00798162, 0.000501245, -0.00422798
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.0109351, 0.0001507, -0.00572984
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0142702, -0.00204494, -0.00261679
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, -0.00577029, 0.00287634, -0.00236149
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, 0.015503, -0.00171895, -0.00769724
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.0123028, -0.000657187, -0.00501836
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.00831497, 0.00128245, -0.00453893
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.0154611, 0.0011282, -0.00470124
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0152988, 0.000459874, -0.0038429
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.00949043, 0.00137125, -0.00285666
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, 0.0103605, -0.00143966, -0.00740334
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.0125967, 0.000720712, -0.00223312
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.00539961, 0.001425, -0.00438893
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.0156111, 0.000163698, -0.00571616
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0142838, 0.0016694, -0.00257014
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0107632, 4.21156e-06, -0.00458699
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0, 0.00987595, -0.00424809, -0.00879699
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0, 0.00453634, -0.00351501, -0.00413222
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0, -0.00742019, 0.000448976, -0.00298497
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0, 0.00663676, -0.000135899, -0.00336266
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0, 0.00524403, 0.000243329, -0.00302971
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0, 0.00585918, -2.11147e-05, -0.00434904
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0, 0.00898429, 0.001898, -0.00158007
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0, 0.00855343, -0.000621598, -0.00393985
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0, 0.00494904, 0.00224528, -0.00250685
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0, 0.0131433, 0.00170806, -0.00409107
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0, 0.0159089, 0.00115419, -0.0015507
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0, 0.00511597, 0.000483091, -0.00381847
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00951486, 0.00337398, -0.000776458
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0, 0.0125569, 0.00184208, -0.0042455
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0, 0.0170159, 0.00309235, -0.00419601
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0, 0.0224707, 0.000621387, -0.00679614
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0, 0.0198705, 0.0039749, -0.00118518
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0, 0.0165926, 0.000527813, -0.00481248
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0, 0.0129653, 0.00228024, -0.00296844
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0, 0.0148093, 0.000934115, -0.00334387
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0, 0.00998946, -0.00183829, -0.00469962
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, 0.00196705, -0.00246086, -0.00535473
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, 0.00131194, 4.82178e-05, -0.00166955
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, 0.000536161, 0.00243606, 0.00161172
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.000536161, -0.00141144, -0.00470549
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00390381, -0.00125767, -0.00408864
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00257803, -0.0010572, -0.00387769
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00278897, 0.0021446, 0.00028853
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.00355251, 0.00256018, 0.000859614
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.00355251, -7.38684e-05, -0.00236605
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0, 0.00226464, -0.00231461, -0.00520084
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, 0.00146583, -0.00394474, -0.00691618
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, -0.000249517, 0.000305664, -0.00148093
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, 0.00107606, 0.0015168, 0.000183364
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.00107606, -0.000527342, -0.00435809
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00673974, -0.00103054, -0.00384964
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00281703, -0.00254445, -0.00544269
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00122398, -0.000767577, -4.49492e-05
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, -0.00843968, 0.00115037, 0.00259062
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, -0.00843968, 3.02048e-05, -0.00266043
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0, 0.00369455, -0.00220203, -0.00508237
9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, 0.0015843, -0.00305187, -0.00597664
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, 0.000690025, -0.000585418, -0.00214109
9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, -0.000768816, -0.000967944, -0.00266674
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, -0.000768816, -0.000248532, -0.00458835
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00874499, -0.0010469, -0.00386686
9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00279981, -0.000742961, -0.00354702
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00311964, 0.00333527, -0.000476885
9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0114036, 0.00323386, -0.000616239
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0114036, 0.00221537, -0.00199564
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0, 0.0113377, -0.0049454, -0.00484596
10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, -0.0115126, -0.00578298, -0.00572733
10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, -0.012394, 0.00122527, -0.00287558
10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, 0.0097665, 0.00305166, -0.00036583
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.0097665, -0.000679842, -0.00427773
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00579196, 0.000484161, -0.00225575
10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00441092, -0.0027564, -0.00566572
10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00100095, 0.00360354, -0.000529894
10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0127821, 0.00438017, 0.000537315
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0127821, 0.00177691, -0.00245701
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0, 0.0108763, -0.00206485, -0.00493802
11, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, 0.00172865, -0.00272244, -0.00562999
11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, 0.00103668, 0.00301034, -0.00115911
11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, 0.0121742, -0.00170531, 0.000125107
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, -0.0132082, 0.000989813, -0.00328526
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.0100481, -0.000989099, -0.00380603
11, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00286064, -0.000316137, -0.00309789
11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00356878, 0.00431348, 0.000212161
11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0135455, 0.00569611, 0.00166707
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0150004, 0.000337916, -0.00317834
