# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -5.56931e-05, 0.00151399
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0, 0.0004, -0.000409611, 0.000943841
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0, 0.0004, 0.000183536, 0.00189938
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0004, -0.000963503, 5.15381e-05
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0004, 8.32127e-05, 0.000601046
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, 0.00686183, 0.000431088, -0.000977715
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.0190223, -0.000807479, -0.00167721
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.0116561, 0.0011015, 2.57134e-05
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.0194576, 0.00167014, 0.000719754
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0207198, 0.00178846, 0.00187915
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0152125, 0.000609426, 0.000620131
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, 0.0115723, 0.000261567, -0.00120995
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.01879, -8.77046e-05, -0.000691135
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.0126422, 0.000362296, 0.000750051
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.00857058, 0.00132334, 0.000634108
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0180307, 0.00146796, 0.00144009
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0147734, 0.000150582, 0.000294903
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0, 0.00921909, 0.000153167, -0.00135846
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0, 0.0186415, 0.00020713, 0.000795783
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.00688963, 8.49916e-05, -0.000354325
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0, 0.0123091, 0.00139139, 0.000695912
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0, 0.0183026, 0.00134459, 0.00127107
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0, 0.0146044, 0.00127845, 0.00124933
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0, 0.0141222, -0.0010742, -0.00204261
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0, 0.0112907, -0.00137117, -0.00085169
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0, 0.00180119, 0.000154924, 0.000807717
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0, 0.0063437, 0.00132095, 0.00220475
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0, 0.00908031, 0.000519625, 0.000805764
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0, 0.00969465, 0.000780249, 0.00079057
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0, 0.0121678, 0.00156896, 0.00157845
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0, 0.0149118, 0.000600179, 0.000916121
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0, 0.00980501, 0.00100303, 0.000878947
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0, 0.0137056, 0.0015866, 0.00146741
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0, 0.0157046, 0.000108273, 0.000574659
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0, 0.00724133, -0.000519056, -0.000474078
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.00745809, -0.000718447, 0.00144952
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0, -0.00530283, -0.00048056, 0.001068
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0, -0.00095556, 0.00250653, 0.00210707
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0, 0.0204928, 0.0013565, 0.00099176
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0, 0.0163012, 0.00220546, 0.00178556
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0, 0.0195633, 0.0009676, 0.000837139
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0, 0.0136187, 0.00143388, 0.000907129
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0, 0.017491, 0.00118376, 0.00109305
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0, 0.0141436, -0.00274112, -0.00332893
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0, 0.00333774, -0.0031425, -0.00387881
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0, 0.00278785, -0.000709674, -0.0014374
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0, 0.0111886, 0.00122808, 0.00111145
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0, 0.0144448, 0.000560827, 0.000197336
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0, 0.0135307, 0.00070471, 0.00139176
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0, 0.00805843, -0.00151539, -0.00164972
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0, 0.00501695, 0.000472909, 7.6891e-05
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0, 0.0134102, 0.00146169, 0.00143149
