# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.139583, 0, 0.0208333, 0.0208333
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.258854, 0, 0.0184896, 0.0184896
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.340625, 0, 0.028125, 0.028125
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.390104, 0, 0.0203125, 0.0203125
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.459375, 0, 0.021875, 0.021875
0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.500521, 0, 0.0130208, 0.0130208
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.576042, 0, 0.0135417, 0.0135417
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.642708, 0, 0.0210937, 0.0210938
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.760938, 0, 0.0195312, 0.0195312
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.831771, 0, 0.0192708, 0.0192708
0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.851042, 0, -0.000520833, -0.000520833
1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0, 0, 0.00963542, 0.00963542
1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.133854, 0, 0.0143229, 0.0143229
1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.252604, 0, 0.0119792, 0.0119792
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.325521, 0, 0.0130208, 0.0130208
1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.385417, 0, 0.0164062, 0.0164062
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.448958, 0, 0.0114583, 0.0114583
1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.502083, 0, 0.0106771, 0.0106771
1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.627604, 0, 0.00807292, 0.00807292
1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.747917, 0, 0.00807292, 0.00807292
1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.878646, 0, 0.00833333, 0.00833333
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.938542, 0, 0.00104167, 0.00104167
2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0, 0, 0.00286458, 0.00286458
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.0708333, 0, 0.00833333, 0.00833333
2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.128125, 0, 0.00625, 0.00625
2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.252083, 0, 0.00286458, 0.00286458
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.308333, 0, -0.00416667, -0.00416667
2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.376563, 0, 0.00494792, 0.00494792
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.442187, 0, 0.0046875, 0.0046875
2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 125, 138, 1, 0.470313, 0, -0.0148438, -0.0148437
2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.622917, 0, -0.00130208, -0.00130208
2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.739062, 0, -0.00625, -0.00625
2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.8625, 0, -0.00286458, -0.00286458
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.922396, 0, -0.0151042, -0.0151042
2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.979688, 0, -0.0101563, -0.0101562
3, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.106771, 0, -0.00677083, -0.00677083
3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.227604, 0, -0.00546875, -0.00546875
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.323438, 0, 0.0109375, 0.0109375
3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.369271, 0, 0.00286458, 0.00286458
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.452604, 0, 0.0151042, 0.0151042
3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.488021, 0, 0.000520833, 0.000520833
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.552083, 0, -0.0104167, -0.0104167
3, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.620313, 0, -0.000260417, -0.000260417
3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.741667, 0, 0.00078125, 0.00078125
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.817708, 0, 0.0151042, 0.0151042
3, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.851042, 0, -0.00677083, -0.00677083
3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.990625, 0, -0.00494792, -0.00494792
4, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.120312, 0, 0.00078125, 0.00078125
4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.2375, 0, 0.000520833, 0.000520833
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.31875, 0, 0.00625, 0.00625
4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.368229, 0, 0.00416667, 0.00416667
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.450521, 0, 0.0130208, 0.0130208
4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.484375, 0, -0.000520833, -0.000520833
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.566146, 0, 0.00364583, 0.00364583
4, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.618229, 0, 0.003125, 0.003125
4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.736458, 0, -0.0015625, -0.0015625
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.817708, 0, 0.0166667, 0.0166667
4, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.854688, 0, -0.00416667, -0.00416667
4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.995833, 0, -0.00078125, -0.00078125
5, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.120312, 0, 0.00130208, 0.00130208
5, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.238542, 0, -0.000260417, -0.000260417
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.314583, 0, 0.00208333, 0.00208333
5, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.369792, 0, 0.00182292, 0.00182292
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.446875, 0, 0.009375, 0.009375
5, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.486979, 0, -0.003125, -0.003125
5, 0, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.616667, 0, -0.003125, -0.003125
5, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.734896, 0, -0.00625, -0.00625
5, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.866146, 0, -0.00442708, -0.00442708
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.932813, 0, -0.0046875, -0.0046875
5, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.983854, 0, -0.00520833, -0.00520833
6, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.0557292, 0, -0.00286458, -0.00286458
6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.170833, 0, -0.00598958, -0.00598958
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.244271, 0, -0.00572917, -0.00572917
6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.302083, 0, -0.00442708, -0.00442708
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.379687, 0, 0.0046875, 0.0046875
6, 1, 0, 1, 0, 0, 0, 0, 1, 0, 125, 138, 1, 0.413021, 0, -0.0148437, -0.0148437
6, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.531771, 0, -0.0169271, -0.0169271
6, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.667188, 0, -0.0143229, -0.0143229
6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.79375, 0, 0.00442708, 0.00442708
6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.908333, 0, -0.0174479, -0.0174479
7, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0, 0, 0.00390625, 0.00390625
7, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.119271, 0, 0.00338542, 0.00338542
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.195833, 0, 0.00833333, 0.00833333
7, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.246354, 0, 0.00286458, 0.00286458
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.326562, 0, 0.0140625, 0.0140625
7, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.363542, 0, -2.498e-16, -2.498e-16
7, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.495313, 0, 0.00416667, 0.00416667
7, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.613021, 0, 0.00390625, 0.00390625
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.697396, 0, 0.0190104, 0.0190104
7, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.746354, 0, 0.00625, 0.00625
7, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.864583, 0, 0.00390625, 0.00390625
8, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0, 0, 0.00859375, 0.00859375
8, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.119271, 0, 0.00390625, 0.00390625
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.201042, 0, 0.0135417, 0.0135417
8, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.253646, 0, 0.00703125, 0.00703125
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.320833, 0, 0.00833333, 0.00833333
8, 1, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.369792, 0, 0.00260417, 0.00260417
8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.446875, 0, 0.009375, 0.009375
8, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.503646, 0, 0.00390625, 0.00390625
8, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.619271, 0, 0.00286458, 0.00286458
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.688542, 0, 0.0104167, 0.0104167
8, 1, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.719792, 0, -0.009375, -0.009375
8, 1, 0, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0.866146, 0, 0.00286458, 0.00286458
9, 0, 1, 1, 0, 0, 0, 0, 0, 1, 125, 138, 1, 0, 0, 0.00859375, 0.00859375
9, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.120312, 0, 0.00598958, 0.00598958
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 62.5, 138, 1, 0.196354, 0, 0.00885417, 0.00885417
9, 0, 0, 1, 0, 0, 0, 0, 0, 1, 62.5, 138, 1, 0.254167, 0, 0.00833333, 0.00833333
