# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, 0.0002, 0.00625001
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0122862, 0.0004, 0.0002, 0.00481778
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0131673, 0.0004, 0.0002, 0.00337603
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.138011, 0.0004, 0.0002, 0.00130805
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.744917, 0.0004, 0.00165094, 0.00145307
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 1, 0.00330188, 0.011614, 0.00322808
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0714262, 0.0232281, 0.00842686, 0.00352038
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 1, 0.0168537, 0.00993554, 0.00365945
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.102493, 0.0198711, 0.0120969, 0.00419373
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.112261, 0.0241937, 0.00939185, 0.00545037
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0734717, 0.0187837, 0.0116312, 0.00475286
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0523901, 0.0232623, 0.0127752, 0.00555039
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0880311, 0.0255504, 0.00948316, 0.00563298
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0646698, 0.0189663, 0.0115323, 0.00483517
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0316937, 0.0230645, 0.0127578, 0.0055156
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0801082, 0.0255156, 0.0096227, 0.00591207
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0760689, 0.0192454, 0.0125115, 0.0050231
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0330616, 0.0250231, 0.0115531, 0.00557929
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0981832, 0.0231063, 0.00940627, 0.0054792
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0633238, 0.0188125, 0.00753759, 0.00531263
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0259171, 0.0150752, 0.00741446, 0.00503299
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0826813, 0.0148289, 0.00277889, 0.00579618
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.216522, 0.00555779, -0.000265016, 0.00551815
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0271582, -0.000530032, 0.00122425, 0.00564915
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.107847, 0.00244849, -0.00168237, 0.00552416
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.250396, -0.00336473, -0.00187209, 0.00467731
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0432806, -0.00374419, 0.00215998, 0.00498333
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.0696767, 0.00431995, 0.000576487, 0.00575962
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.0932815, 0.00115297, 0.00385859, 0.0047972
