# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -0.00654865, -0.00511963
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.0454012, 0.0004, -0.00327891, -0.00184988
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0498345, 0.0004, -0.00274726, -0.00131824
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.2112, 0.0004, -0.00264272, -0.0012137
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.472793, 0.0004, 0.0120902, -0.0030404
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.147851, 0.0169596, 0.0022805, -0.00149994
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0838212, 0.0185001, -0.00456641, -0.00159006
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0376905, 0.0117433, 0.0017274, -0.00177649
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0541166, 0.0182235, 0.00221526, -0.00153256
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0893549, 0.0184674, -0.00216999, -0.000391851
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.237975, 0.0129415, 0.00475907, -0.000260651
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.475971, 0.0197393, 0.0213726, -0.000892881
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0804369, 0.0191071, 0.014638, -0.000926853
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 1, 0.0124065, 0.0189867, -0.00208584
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 1, 0.0179142, -0.0195028, -0.00133056
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 1, -0.0213306, -0.0117139, -0.000769438
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.129788, -0.0141028, -0.020136, -0.00164718
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.268478, -0.0216472, 0.00306453, -0.00175303
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0537414, 0.018247, -0.00269902, -0.00130147
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 1, 0.0120319, 0.00340289, -0.00158385
