# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 800, 75, 1, 0, 0, 0.0008, 0.0008, -0.00869443
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 800, 75, 1, 0.25, 0.854608, 0.0008, 0.0008, -0.00580241
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 800, 75, 1, 0.5, 0.924615, 0.0008, 0.0008, -0.00746646
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.75, 0.895486, 0.0008, 0.0008, 0.000298924
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 0.861918, 0.0008, -0.0215246, -0.00373443
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0, 1, -0.0215246, 0.0266526, -0.00212918
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.1875, 0.874647, 0.0266526, 0.0484426, -0.00489077
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.375, 0.900371, 0.0484426, -0.0139427, -0.00228948
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.5, 0.982887, -0.0139427, 0.0265803, -0.00547914
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.6875, 0.939811, 0.0265803, 0.0477284, -0.00560493
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 1, 0.0477284, 0.0285466, -0.000650233
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0, 1, 0.0285466, 0.0373702, -0.00684731
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.1875, 0.787555, 0.0373702, 0.0486205, -0.00471282
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.375, 0.96916, 0.0486205, 0.0132776, -0.00275593
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.5, 1, 0.0132776, 0.0191356, -0.0035129
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.6875, 0.880568, 0.0191356, 0.0491261, -0.00321165
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 1, 0.0491261, 0.042107, -0.00331012
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0, 0.837894, 0.042107, 0.00902488, -0.00311597
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.1875, 0.642917, 0.00902488, 0.0419386, -0.00607293
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.375, 1, 0.0419386, -0.0292637, -0.00166255
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.5, 1, -0.0292637, 0.0038837, -0.00444661
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1, 0.6875, 1, 0.0038837, 0.0487816, -0.00455173
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 1, 0.0487816, 0.0174315, -0.00268974
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0, 0.515669, 0.0174315, 0.0150525, -0.00520758
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0.125, 0.585085, 0.0150525, 0.0192333, -0.0037987
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1.5, 0.25, 0.987863, 0.0192333, -0.0200012, -0.00347112
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0.333333, 1, -0.0200012, -0.00114936, -0.0034319
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0.458333, 1, -0.00114936, 0.0329886, -0.00256691
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1.5, 0.583333, 0.996755, 0.0329886, -0.0121241, -0.00215519
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0.666667, 1, -0.0121241, 0.0251385, -0.00279463
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 600, 75, 1.5, 0.791667, 1, 0.0251385, 0.0332284, -0.0023272
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1.5, 0.916667, 1, 0.0332284, 0.0357351, -0.00216971
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 800, 75, 1, 0, 0.913643, 0.0357351, 0.0730996, -0.00690042
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 600, 75, 1, 0.25, 0.335516, 0.0730996, -0.00765083, -0.00284023
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.4375, 1, -0.00765083, -0.00368068, -0.00271851
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 400, 75, 1, 0.5, 0.166007, -0.00368068, -0.0149686, -0.00240407
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.625, 0.0637669, -0.0149686, 0.015461, -0.000347936
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 800, 75, 1, 0.75, 1, 0.015461, 0.0236479, -0.00437754
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 800, 75, 1, 0, 1, 0.0236479, 0.0494154, -0.00479199
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 800, 75, 1, 0.25, 0.150581, 0.0494154, 0.0291191, -0.00727222
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 533.333, 75, 1, 0.5, 1, 0.0291191, 0.0436439, -0.00210295
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 533.333, 75, 1, 0.666667, 0.148736, 0.0436439, 0.0666782, -0.0044329
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 533.333, 75, 1, 0.833333, 0.658885, 0.0666782, 0.0518973, -0.00143606
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0, 0.666431, 0.0518973, 0.0250988, -0.00156789
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 200, 75, 1, 0.125, 0.725215, 0.0250988, 0.0252594, -0.00140729
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.1875, 1, 0.0252594, 0.0374763, -0.000392185
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.25, 1, 0.0374763, -0.0548128, -0.0014795
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.375, 0.672558, -0.0548128, 0.011362, -0.00310828
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.5, 0.435255, 0.011362, 0.0240433, -0.00242402
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 200, 75, 1, 0.625, 1, 0.0240433, 0.0240433, -0.00256978
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.6875, 1, 0.0240433, 0.0240433, -0.00231427
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.75, 1, 0.0240433, 0.051927, -0.00140634
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 0.227382, 0.051927, 0.049274, -0.0040593
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 1.11022e-15, 0.489572, 0.049274, 0.0245256, -0.00214104
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 200, 75, 1, 0.125, 1, 0.0245256, 0.0244914, -0.00217527
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.1875, 1, 0.0244914, 0.0512176, -0.000667778
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.25, 1, 0.0512176, 0.0504458, -0.0028875
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.375, 0.256213, 0.0504458, 0.0459184, -0.00259827
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.5, 0.688616, 0.0459184, 0.023147, -0.00351968
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 200, 75, 1, 0.625, 1, 0.023147, 0.0246111, -0.00205552
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.6875, 0.276048, 0.0246111, 0.0463131, -0.00269793
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.75, 1, 0.0463131, 0.0463131, -0.00155701
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.875, 0.143387, 0.0463131, 0.0510088, -0.00232452
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 1.11022e-15, 0.380582, 0.0510088, 0.0238828, -0.00278386
9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 200, 75, 1, 0.125, 1, 0.0238828, 0.0246721, -0.00199461
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 75, 1, 0.1875, 0.187581, 0.0246721, 0.0340985, -6.91766e-05
9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 75, 1, 0.25, 1, 0.0340985, 0.0340985, 0.000117523
