# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, -0.0010859, 0.00123709
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.000694408, 0.0004, -0.00081142, 0.00151156
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.0330077, 0.0004, -0.000564794, 0.00175819
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0316719, 0.0004, -0.00532746, -0.00300448
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.983133, 0.0004, 0.00660411, -0.00460489
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.598522, 0.013932, 0.00991852, 0.00402037
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.102443, 0.013932, 0.0044975, 0.000340843
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0900754, 0.0121905, -0.00332692, -0.00632258
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0272516, 0.0110295, 0.005157, 0.00216134
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.104997, 0.0110295, -0.00837371, 0.00140161
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.131536, -0.0017415, -0.00858334, -0.00461301
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0397966, 0.00406349, 0.01247, 0.00277642
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0428867, 0.00406349, 0.0033273, -0.000561269
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0511819, -0.0017415, 2.33369e-05, -0.00386524
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.063833, -0.0017415, 0.00913358, 0.00292301
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.0316772, 0.000580499, -0.00568353, 0.00100987
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.683118, -0.0123235, -0.0202005, -0.00551309
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0923162, -0.0203175, 0.012866, 0.00136442
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.0551044, 0.00290249, 0.00158186, -0.00179271
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.532685, -0.00522449, -0.0151285, -0.0034101
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0506753, -0.0203175, 0.00822204, -0.000377017
