# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1000, 60, 1, 0, 0, 0.001, -0.017498, -0.0106213
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1000, 60, 1, 0.25, 0.0441329, 0.001, -0.0180261, -0.0111494
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1000, 60, 1, 0.5, 0.0441329, 0.001, -0.0121156, -0.00523889
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.75, 0.0441329, 0.001, -0.0152132, -0.00833647
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.875, 0.0441329, 0.001, -0.0152162, -0.00833947
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0, 0.0441329, 0.001, -0.00534288, -0.00985795
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.125, 0.0441329, 0.0447621, 0.00273576, -0.00937851
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.25, 0.0441329, 0.0739548, -0.0115604, -0.00988145
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.375, 0.0441329, 0.0209676, 0.00756434, -0.00554725
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.5, 0.0441329, 0.0777861, -0.0209155, -0.00722012
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.625, 0.0441329, -0.0251943, 0.0063747, -0.00649118
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.75, 0.0441329, 0.0768422, -0.0232246, -0.00316826
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.875, 0.0441329, -0.0496303, 0.00598146, -0.0068032
2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0, 0.0441329, 0.0765301, -0.0226578, -0.00968867
2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.125, 0.0441329, -0.0224041, 0.00511402, -0.00749147
2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.25, 0.0441329, 0.0758419, -0.025247, -0.0087214
2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.375, 0.0441329, -0.0360667, 0.00863048, -0.00470132
2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.5, 0.0441329, 0.078632, -0.00930522, -0.00388653
2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.625, 0.0441329, 0.00660108, 0.0120224, -0.00201002
2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.75, 0.0441329, 0.0813233, -0.00263346, -0.00462686
2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.875, 0.0441329, 0.035075, 0.00780211, -0.00535859
3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0, 0.0441329, 0.0779747, -0.0167085, -0.00709505
3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.125, 0.0441329, -0.00951334, 0.00270128, -0.00940587
3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.25, 0.0441329, 0.0739275, -0.00572828, -0.00640327
3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.375, 0.0441329, 0.0300103, 0.00817194, -0.00506515
3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 500, 60, 1, 0.5, 0.0441329, 0.0782682, 0.00571193, -0.00147146
