# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, 0.000203037, 0.000122303
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.419366, 0.0004, 0.000812455, 0.00096142
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.419366, 0.0004, 0.000934294, 0.00112918
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, 0.0004, 0.00049071, 0.000518405
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0004, 0.000733623, -0.000474388
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0195256, 0.000798827, -0.000390434
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0196096, 0.000669895, -0.000123817
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0132095, 0.00135027, 0.000319587
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.419366, 0.0203196, 0.00100642, -0.00012314
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.419366, 0.0198769, 0.00120812, 0.000569178
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0139025, 0.0012207, 0.000349909
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0173118, 0.00149164, 0.000501608
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0205016, 0.00118962, 0.000545358
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0138787, 0.00151577, 0.00053267
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.419366, 0.0205327, 0.00127918, 0.000228055
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.419366, 0.0202281, 0.00114254, 0.000484746
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0138181, 0.00146377, 0.000465724
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0204657, 0.00114997, 6.1689e-05
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0200617, 0.00091992, 0.000198106
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0135314, 0.00152061, 0.000538906
